,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,-113.33982957574997,37.27822008254007,0.20455180938361922,0.27074400873632065,0.3552495308049068,190.93344215454604,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,-110.78214609370997,36.10219165505617,0.4261931275357574,0.27074400873632065,0.3552495308049068,190.93344215454604,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,-110.97795724979264,36.36341229548498,0.809357314256984,0.27074400873632065,0.3552495308049068,190.93344215454604,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,-73.96272419076416,47.06280938897201,0.2029486500341018,0.27074400873632065,0.3552495308049068,190.93344215454604,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,-84.94688534450299,40.30718957724697,6.166349447775061,0.27074400873632065,0.3552495308049068,190.93344215454604,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,-89.2099655104241,37.61088602922101,1.4289005470604799,0.27074400873632065,0.3552495308049068,190.93344215454604,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,-90.2251461483999,40.55984202886959,0.2848860236720523,0.27074400873632065,0.3552495308049068,190.93344215454604,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,-89.69785585524482,36.62671248336189,5.1769911493303065,0.27074400873632065,0.3552495308049068,190.93344215454604,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,-89.8585524945202,39.092024077410315,1.1644130815175948,0.27074400873632065,0.3552495308049068,190.93344215454604,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,-88.62930890433465,39.98228812318862,0.9994903476707583,0.27074400873632065,0.3552495308049068,190.93344215454604,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,-89.90284689011655,37.42996029568631,3.4326819297505735,0.27074400873632065,0.3552495308049068,190.93344215454604,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,-102.01251835692447,32.086045619426756,1.2407808204682846,0.27074400873632065,0.3552495308049068,190.93344215454604,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,-90.68371024606299,37.86008836757853,4.802978342794029,0.27074400873632065,0.3552495308049068,190.93344215454604,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,-89.49440738563145,38.030036423751355,1.838474146103384,0.27074400873632065,0.3552495308049068,190.93344215454604,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,-89.08808506151368,40.631567749721675,2.3775537160991562,0.27074400873632065,0.3552495308049068,190.93344215454604,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,-90.14805919186898,38.1564216282352,4.770125024454197,0.27074400873632065,0.3552495308049068,190.93344215454604,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,-89.74318048918533,37.186424764578334,3.4911046824240595,0.27074400873632065,0.3552495308049068,190.93344215454604,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,-89.31243899072489,37.317312345439746,2.5763392486939374,0.27074400873632065,0.3552495308049068,190.93344215454604,DAY,39.90111111,-84.22,US,OH,east,no
18,18,-91.78462082498172,36.94362973992776,5.330738440154429,0.27074400873632065,0.3552495308049068,190.93344215454604,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,-90.16524516220194,40.4014655233368,1.4190410696017528,0.27074400873632065,0.3552495308049068,190.93344215454604,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,-91.37113039434423,39.42776378024482,3.479194872279198,0.27074400873632065,0.3552495308049068,190.93344215454604,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,-89.80105076176153,38.841168600900225,5.016819145417342,0.27074400873632065,0.3552495308049068,190.93344215454604,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,-89.41135055888402,39.56540500913323,0.6590855793795276,0.27074400873632065,0.3552495308049068,190.93344215454604,ERI,42.08,-80.17861111,US,PA,east,no
23,23,-91.91894803741917,36.57511970784587,3.6234040673408088,0.27074400873632065,0.3552495308049068,190.93344215454604,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,-89.62848959525381,39.09023204163309,1.4168997679038253,0.27074400873632065,0.3552495308049068,190.93344215454604,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,-89.54962026417465,36.455818420951864,1.8731905569081595,0.27074400873632065,0.3552495308049068,190.93344215454604,GPT,30.40611111,-89.07027778,US,MS,centre,no
