,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,0.2542753306253811,0.015093980898593927,0.34920455750149354,1.0480266496605557,93.95215688547685,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.0917556967304562,0.029651161985736446,0.34920455750149354,1.0480266496605557,93.95215688547685,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.07837543102026742,0.0638227713531578,0.34920455750149354,1.0480266496605557,93.95215688547685,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.38536160280439,0.006081508316291865,0.34920455750149354,1.0480266496605557,93.95215688547685,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.42728042059799176,1.104984469950928,0.34920455750149354,1.0480266496605557,93.95215688547685,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.24104384252103797,0.528219314332578,0.34920455750149354,1.0480266496605557,93.95215688547685,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.28352157650030807,0.0242078624070072,0.34920455750149354,1.0480266496605557,93.95215688547685,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.30591517335142304,1.681854511627056,0.34920455750149354,1.0480266496605557,93.95215688547685,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.35897278057437076,0.40262524741290195,0.34920455750149354,1.0480266496605557,93.95215688547685,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.053295325042678,0.2555470089815459,0.34920455750149354,1.0480266496605557,93.95215688547685,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.2881010088664445,1.2070999461595424,0.34920455750149354,1.0480266496605557,93.95215688547685,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.42706571139221444,0.06807421340977296,0.34920455750149354,1.0480266496605557,93.95215688547685,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.3058504055922453,1.8212225626434768,0.34920455750149354,1.0480266496605557,93.95215688547685,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.42680771956000285,0.6921025778846862,0.34920455750149354,1.0480266496605557,93.95215688547685,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.22589403084435014,0.43724404927780763,0.34920455750149354,1.0480266496605557,93.95215688547685,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.29422147451622277,1.6212330304807208,0.34920455750149354,1.0480266496605557,93.95215688547685,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.3904742621976802,1.3937853437946184,0.34920455750149354,1.0480266496605557,93.95215688547685,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.5129577659796573,1.0686114146816605,0.34920455750149354,1.0480266496605557,93.95215688547685,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.3666387473458415,1.704870186631028,0.34920455750149354,1.0480266496605557,93.95215688547685,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.4056669678165479,0.3465143693809105,0.34920455750149354,1.0480266496605557,93.95215688547685,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.35015628210770966,0.8762317020185842,0.34920455750149354,1.0480266496605557,93.95215688547685,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,0.4064419764660294,1.8765443066258825,0.34920455750149354,1.0480266496605557,93.95215688547685,DTW,42.21666667,-83.34444444,US,MI,east,yes
