,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,0.2991167818209222,0.5785590582690298,0.013401848401467948,0.5677354772748359,0.42862820352776937,161.42496229148412,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.159048744099302,0.6171028214075207,0.04053028774395628,0.5677354772748359,0.42862820352776937,161.42496229148412,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.1170203411791477,0.5990717827437023,0.08092071825411191,0.5677354772748359,0.42862820352776937,161.42496229148412,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.30310177140796885,0.45371899452612074,0.008676366565037,0.5677354772748359,0.42862820352776937,161.42496229148412,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.2098416903037482,0.0800260287731649,1.7950420115994443,0.5677354772748359,0.42862820352776937,161.42496229148412,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.9107651255294359,0.11447231745970689,0.6857382024612242,0.5677354772748359,0.42862820352776937,161.42496229148412,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.5657304091120755,0.21239304260469882,0.07706866316972792,0.5677354772748359,0.42862820352776937,161.42496229148412,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.9217801380673599,0.30541281527256425,2.441014335289889,0.5677354772748359,0.42862820352776937,161.42496229148412,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.8986595313354893,0.11256257821629535,0.513960862706659,0.5677354772748359,0.42862820352776937,161.42496229148412,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.88549802972607,0.09018050249245071,0.2989811360708848,0.5677354772748359,0.42862820352776937,161.42496229148412,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.9597521272257129,0.25087011930280045,1.6422445700726025,0.5677354772748359,0.42862820352776937,161.42496229148412,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.17847212543304072,0.2626181145275253,0.1247849258978681,0.5677354772748359,0.42862820352776937,161.42496229148412,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.9155347154031347,0.3727879007447435,2.305960757324658,0.5677354772748359,0.42862820352776937,161.42496229148412,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.9409079947634749,0.23054021498071114,0.8278038781846175,0.5677354772748359,0.42862820352776937,161.42496229148412,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.6363584803309271,0.10740019817209183,0.6524033293002256,0.5677354772748359,0.42862820352776937,161.42496229148412,CID,41.88444444,-91.70611111,US,IA,centre,no
