,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,0.4900903201353813,0.008745320269349053,0.2266235182026942,0.6404057601331804,63.15561847417606,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.5203986807528972,0.0220245400821746,0.2266235182026942,0.6404057601331804,63.15561847417606,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.5466765691672586,0.04422580214816899,0.2266235182026942,0.6404057601331804,63.15561847417606,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.43695181043849457,0.005621835692245773,0.2266235182026942,0.6404057601331804,63.15561847417606,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.6979833176533448,0.9787917288987531,0.2266235182026942,0.6404057601331804,63.15561847417606,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.7595318765760518,0.4770184386836213,0.2266235182026942,0.6404057601331804,63.15561847417606,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.45088780066018086,0.04950485571340289,0.2266235182026942,0.6404057601331804,63.15561847417606,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.707234424561393,1.790306726967954,0.2266235182026942,0.6404057601331804,63.15561847417606,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.7165791316298386,0.36468060641550537,0.2266235182026942,0.6404057601331804,63.15561847417606,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.6968871364022361,0.20993709571783287,0.2266235182026942,0.6404057601331804,63.15561847417606,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.5562216834391024,1.2301056392019534,0.2266235182026942,0.6404057601331804,63.15561847417606,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.45832226769384915,0.06886408394389558,0.2266235182026942,0.6404057601331804,63.15561847417606,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.5592459186178654,1.7517234752844923,0.2266235182026942,0.6404057601331804,63.15561847417606,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.7499848548733241,0.6120006289366315,0.2266235182026942,0.6404057601331804,63.15561847417606,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.6416332100800938,0.44272186775660066,0.2266235182026942,0.6404057601331804,63.15561847417606,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.5710211300078378,1.7245278477601036,0.2266235182026942,0.6404057601331804,63.15561847417606,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.6449700462188116,1.2207780572411036,0.2266235182026942,0.6404057601331804,63.15561847417606,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.6574265388913253,0.842453585289825,0.2266235182026942,0.6404057601331804,63.15561847417606,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.5236678966687659,1.7462725861842474,0.2266235182026942,0.6404057601331804,63.15561847417606,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.6299450699539046,0.30459470731475796,0.2266235182026942,0.6404057601331804,63.15561847417606,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.3975512077744869,0.94495447374959,0.2266235182026942,0.6404057601331804,63.15561847417606,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,0.7018384535749713,1.7837826175137372,0.2266235182026942,0.6404057601331804,63.15561847417606,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,0.6012048955831549,0.16876234565911466,0.2266235182026942,0.6404057601331804,63.15561847417606,ERI,42.08,-80.17861111,US,PA,east,no
23,23,0.4869387427989221,1.001026211066089,0.2266235182026942,0.6404057601331804,63.15561847417606,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,0.705818662898609,0.41087969064421803,0.2266235182026942,0.6404057601331804,63.15561847417606,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,0.7071682518827279,0.5293745177798193,0.2266235182026942,0.6404057601331804,63.15561847417606,GPT,30.40611111,-89.07027778,US,MS,centre,no
26,26,0.5910476347569903,0.52954919591282,0.2266235182026942,0.6404057601331804,63.15561847417606,GRB,44.48805556,-88.13055556,US,WI,centre,no
27,27,0.7590359349289569,0.5850623672255602,0.2266235182026942,0.6404057601331804,63.15561847417606,GSP,34.89888889,-82.21388889,US,SC,east,no
28,28,0.7388803358217204,0.632095689754484,0.2266235182026942,0.6404057601331804,63.15561847417606,HSV,34.64277778,-86.77555556,US,AL,centre,no
29,29,0.6457334433564326,1.7780076100020996,0.2266235182026942,0.6404057601331804,63.15561847417606,IAD,38.94166667,-77.4575,US,VA,east,yes
30,30,0.48516850621950525,0.841574162600974,0.2266235182026942,0.6404057601331804,63.15561847417606,ICT,37.65,-97.43277778,US,KS,centre,no
31,31,0.631118055057918,0.3768516957187384,0.2266235182026942,0.6404057601331804,63.15561847417606,ILM,34.26694444,-77.90388889,US,NC,east,no
32,32,0.6211757803024885,1.3986403662901543,0.2266235182026942,0.6404057601331804,63.15561847417606,IND,39.72888889,-86.28166667,US,IN,east,no
33,33,0.43983420094733416,0.7932055538170568,0.2266235182026942,0.6404057601331804,63.15561847417606,JAX,30.48472222,-81.68777778,US,FL,east,no
34,34,0.5155314206692274,0.6619922202117515,0.2266235182026942,0.6404057601331804,63.15561847417606,JFK,40.63861111,-73.77694444,US,NY,east,yes
35,35,0.5277850403098732,0.02614389874461046,0.2266235182026942,0.6404057601331804,63.15561847417606,LBE,40.27638889,-79.40277778,US,PA,east,no
36,36,0.7416336722569103,0.631589162270172,0.2266235182026942,0.6404057601331804,63.15561847417606,LEX,38.03972222,-84.60222222,US,KY,centre,no
37,37,0.5108032116879542,1.2341219009003799,0.2266235182026942,0.6404057601331804,63.15561847417606,LGA,40.77944444,-73.87583333,US,NY,east,no
38,38,0.5538260752682472,1.0333935704275408,0.2266235182026942,0.6404057601331804,63.15561847417606,LIT,34.72916667,-92.23444444,US,AR,centre,no
39,39,0.45775541873846715,1.377187992468613,0.2266235182026942,0.6404057601331804,63.15561847417606,MCI,39.2975,-94.71388889,US,MO,centre,no
40,40,0.5406469504235104,1.2312099748247323,0.2266235182026942,0.6404057601331804,63.15561847417606,MCO,28.43166667,-81.32472222,US,FL,east,no
41,41,0.408698362034734,1.2189677324481332,0.2266235182026942,0.6404057601331804,63.15561847417606,MDW,41.785,-87.75194444,US,IL,east,no
42,42,0.470392356387939,1.409005788259324,0.2266235182026942,0.6404057601331804,63.15561847417606,MEM,35.04972222,-89.97861111,US,TN,east,no
43,43,0.47286133153431625,1.545569424314149,0.2266235182026942,0.6404057601331804,63.15561847417606,MKE,42.95027778,-87.89722222,US,WI,centre,no
44,44,0.609424038941162,0.48288914606342986,0.2266235182026942,0.6404057601331804,63.15561847417606,MLI,41.44888889,-90.505,US,IL,east,no
