,index,x0,iata,latitude,longitude,country,state,region,hub
0,0,0.006563878067086105,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.038524594450485686,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.9985240776923789,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.5904101628806461,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.7335045794216158,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.10032570437574084,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.8997798149389067,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.5207180900260041,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.431692341718701,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.07704364505494934,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.008318759935390512,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.4121285396427115,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.27825470365901195,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.02452487483905554,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.6543824345646206,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.7278971033697026,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.9921210483167249,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.00627419835147355,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.11309998785118683,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.16726643252338985,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.9588275606747078,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,0.6736997294980577,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,0.9973553344610996,ERI,42.08,-80.17861111,US,PA,east,no
23,23,0.5568191904162709,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,0.05094010763106414,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,0.23852328678588633,GPT,30.40611111,-89.07027778,US,MS,centre,no
26,26,0.4384234561069742,GRB,44.48805556,-88.13055556,US,WI,centre,no
27,27,0.05382932059445581,GSP,34.89888889,-82.21388889,US,SC,east,no
28,28,0.0012309875005837923,HSV,34.64277778,-86.77555556,US,AL,centre,no
29,29,0.28062584035497623,IAD,38.94166667,-77.4575,US,VA,east,yes
30,30,0.997207432226088,ICT,37.65,-97.43277778,US,KS,centre,no
31,31,0.9824103655555345,ILM,34.26694444,-77.90388889,US,NC,east,no
32,32,0.1104972952111332,IND,39.72888889,-86.28166667,US,IN,east,no
33,33,0.4702048654476674,JAX,30.48472222,-81.68777778,US,FL,east,no
34,34,0.07175358097980564,JFK,40.63861111,-73.77694444,US,NY,east,yes
35,35,0.997744554093603,LBE,40.27638889,-79.40277778,US,PA,east,no
36,36,0.9975325129072089,LEX,38.03972222,-84.60222222,US,KY,centre,no
37,37,0.2881544284204485,LGA,40.77944444,-73.87583333,US,NY,east,no
38,38,0.004388014068874043,LIT,34.72916667,-92.23444444,US,AR,centre,no
39,39,0.7499124310925608,MCI,39.2975,-94.71388889,US,MO,centre,no
40,40,0.9863535175491046,MCO,28.43166667,-81.32472222,US,FL,east,no
41,41,0.0018321581626823344,MDW,41.785,-87.75194444,US,IL,east,no
42,42,0.9983057265391899,MEM,35.04972222,-89.97861111,US,TN,east,no
43,43,0.4542055095313058,MKE,42.95027778,-87.89722222,US,WI,centre,no
44,44,0.5563575529161875,MLI,41.44888889,-90.505,US,IL,east,no
45,45,0.9272098005385333,MSN,43.14194444,-89.33694444,US,WI,centre,no
46,46,0.10121992443246777,MYR,33.67916667,-78.92972222,US,SC,east,no
47,47,0.9830748181099279,ORD,41.97805556,-87.90611111,US,IL,east,yes
48,48,0.9282692597360839,PGD,26.91916667,-81.99138889,US,FL,east,no
49,49,0.9976225292820367,PHL,39.86805556,-75.24861111,US,PA,east,no
50,50,0.9603699996113281,PIE,27.90722222,-82.68555556,US,FL,east,no
51,51,0.579820098424708,PIT,40.49666667,-80.23583333,US,PA,east,no
52,52,0.9987808079146446,PUB,38.29277778,-104.49611111,US,CO,west,no
53,53,0.25301788463536673,RIC,37.50527778,-77.31972222,US,VA,east,no
54,54,0.016177980592593705,ROA,37.32472222,-79.97638889,US,VA,east,no
55,55,0.09498764320020983,RSW,26.53611111,-81.755,US,FL,east,no
56,56,0.9965096426111623,SFB,28.775,-81.24027778,US,FL,east,no
57,57,0.31626240760496277,SRQ,27.39388889,-82.55416667,US,FL,east,no
58,58,0.6206438782889675,STL,38.74722222,-90.36444444,US,MO,centre,no
59,59,0.724707232532738,TUL,36.19777778,-95.88972222,US,OK,centre,no
60,60,0.001958592403094828,UTM,34.68083333,-90.34638889,US,MS,centre,no
61,61,0.001149292353143894,VPS,30.48333333,-86.52527778,US,FL,east,no
62,62,0.17724928351613903,ABI,32.40944444,-99.67972222,US,TX,centre,no
63,63,0.0016699382887568823,ELP,31.80666667,-106.37722222,US,TX,centre,no
64,64,0.06892160830951145,ENV,40.71861111,-114.03388889,US,UT,west,no
65,65,0.058618691449393634,GGG,32.38666667,-94.71527778,US,TX,centre,no
66,66,0.04264383382408417,IFP,35.16444444,-114.56527778,US,AZ,west,no
67,67,0.9989082423004776,SJT,31.35972222,-100.49444444,US,TX,centre,no
68,68,0.9974685139793443,SLC,40.78416667,-111.96694444,US,UT,west,no
69,69,0.9937916004344288,SMO,34.01611111,-118.45083333,US,CA,west,no
70,70,0.2376592513231833,ABQ,35.04166667,-106.60638889,US,NM,west,no
71,71,0.8860109247167978,ALB,42.74583333,-73.80527778,US,NY,east,no
72,72,0.9987082336933876,ALM,32.83972222,-105.99,US,NM,west,no
73,73,0.998425902326896,AMA,35.22722222,-101.72194444,US,TX,centre,no
74,74,0.0023485397464716204,AUS,30.19444444,-97.67,US,TX,centre,no
75,75,0.0030138820070441876,BDL,41.93861111,-72.68333333,US,CT,east,no
76,76,0.6769747462567361,BFL,35.43,-119.05222222,US,CA,west,no
77,77,0.5304217209635159,BIL,45.80694444,-108.54277778,US,MT,west,no
78,78,0.9966511663278756,BOI,43.56527778,-116.225,US,ID,west,no
79,79,0.9884275224800595,BOS,42.36361111,-71.00611111,US,MA,east,yes
80,80,0.03368316173548582,BPT,29.95083333,-94.02,US,TX,centre,no
