,index,x0,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,0.822252221407259,0.1653231430346359,0.7908546711500419,214.0641639792899,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.451507026711491,0.1653231430346359,0.7908546711500419,214.0641639792899,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.2916877060855252,0.1653231430346359,0.7908546711500419,214.0641639792899,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.05003950488518635,0.1653231430346359,0.7908546711500419,214.0641639792899,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.4870564625829753,0.1653231430346359,0.7908546711500419,214.0641639792899,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.38620486235972057,0.1653231430346359,0.7908546711500419,214.0641639792899,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.5497598758995081,0.1653231430346359,0.7908546711500419,214.0641639792899,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.12114601087650698,0.1653231430346359,0.7908546711500419,214.0641639792899,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.7203554433384404,0.1653231430346359,0.7908546711500419,214.0641639792899,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.19233433501542618,0.1653231430346359,0.7908546711500419,214.0641639792899,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.4472163875046141,0.1653231430346359,0.7908546711500419,214.0641639792899,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.25803661600291605,0.1653231430346359,0.7908546711500419,214.0641639792899,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.83187447230747,0.1653231430346359,0.7908546711500419,214.0641639792899,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.9104332513905744,0.1653231430346359,0.7908546711500419,214.0641639792899,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.06764359580191939,0.1653231430346359,0.7908546711500419,214.0641639792899,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.9303895975764496,0.1653231430346359,0.7908546711500419,214.0641639792899,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.24859683110860992,0.1653231430346359,0.7908546711500419,214.0641639792899,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.9123018769344293,0.1653231430346359,0.7908546711500419,214.0641639792899,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.811901012609397,0.1653231430346359,0.7908546711500419,214.0641639792899,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.5843693814648969,0.1653231430346359,0.7908546711500419,214.0641639792899,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.27745756511250497,0.1653231430346359,0.7908546711500419,214.0641639792899,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,0.22004242723043388,0.1653231430346359,0.7908546711500419,214.0641639792899,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,0.2025014151990969,0.1653231430346359,0.7908546711500419,214.0641639792899,ERI,42.08,-80.17861111,US,PA,east,no
23,23,0.7751709900511459,0.1653231430346359,0.7908546711500419,214.0641639792899,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,0.9537330404455868,0.1653231430346359,0.7908546711500419,214.0641639792899,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,0.32409715695801644,0.1653231430346359,0.7908546711500419,214.0641639792899,GPT,30.40611111,-89.07027778,US,MS,centre,no
26,26,0.533576905765623,0.1653231430346359,0.7908546711500419,214.0641639792899,GRB,44.48805556,-88.13055556,US,WI,centre,no
27,27,0.6249591168866111,0.1653231430346359,0.7908546711500419,214.0641639792899,GSP,34.89888889,-82.21388889,US,SC,east,no
28,28,0.9128054782432613,0.1653231430346359,0.7908546711500419,214.0641639792899,HSV,34.64277778,-86.77555556,US,AL,centre,no
29,29,0.9437190803461941,0.1653231430346359,0.7908546711500419,214.0641639792899,IAD,38.94166667,-77.4575,US,VA,east,yes
30,30,0.597468302966704,0.1653231430346359,0.7908546711500419,214.0641639792899,ICT,37.65,-97.43277778,US,KS,centre,no
31,31,0.301890381694463,0.1653231430346359,0.7908546711500419,214.0641639792899,ILM,34.26694444,-77.90388889,US,NC,east,no
32,32,0.1652350846639291,0.1653231430346359,0.7908546711500419,214.0641639792899,IND,39.72888889,-86.28166667,US,IN,east,no
33,33,0.7548977546720388,0.1653231430346359,0.7908546711500419,214.0641639792899,JAX,30.48472222,-81.68777778,US,FL,east,no
34,34,0.14750257921328355,0.1653231430346359,0.7908546711500419,214.0641639792899,JFK,40.63861111,-73.77694444,US,NY,east,yes
35,35,0.1615462076643428,0.1653231430346359,0.7908546711500419,214.0641639792899,LBE,40.27638889,-79.40277778,US,PA,east,no
36,36,0.6704135797600127,0.1653231430346359,0.7908546711500419,214.0641639792899,LEX,38.03972222,-84.60222222,US,KY,centre,no
37,37,0.1216671281218131,0.1653231430346359,0.7908546711500419,214.0641639792899,LGA,40.77944444,-73.87583333,US,NY,east,no
38,38,0.1626404063254884,0.1653231430346359,0.7908546711500419,214.0641639792899,LIT,34.72916667,-92.23444444,US,AR,centre,no
39,39,0.5235053308948511,0.1653231430346359,0.7908546711500419,214.0641639792899,MCI,39.2975,-94.71388889,US,MO,centre,no
40,40,0.6799302599386273,0.1653231430346359,0.7908546711500419,214.0641639792899,MCO,28.43166667,-81.32472222,US,FL,east,no
41,41,0.11660433478639759,0.1653231430346359,0.7908546711500419,214.0641639792899,MDW,41.785,-87.75194444,US,IL,east,no
42,42,0.22285991249584103,0.1653231430346359,0.7908546711500419,214.0641639792899,MEM,35.04972222,-89.97861111,US,TN,east,no
43,43,0.48662788536419,0.1653231430346359,0.7908546711500419,214.0641639792899,MKE,42.95027778,-87.89722222,US,WI,centre,no
44,44,0.7580434826744133,0.1653231430346359,0.7908546711500419,214.0641639792899,MLI,41.44888889,-90.505,US,IL,east,no
45,45,0.8862990391874086,0.1653231430346359,0.7908546711500419,214.0641639792899,MSN,43.14194444,-89.33694444,US,WI,centre,no
46,46,0.8107319096989158,0.1653231430346359,0.7908546711500419,214.0641639792899,MYR,33.67916667,-78.92972222,US,SC,east,no
47,47,0.8155343975723461,0.1653231430346359,0.7908546711500419,214.0641639792899,ORD,41.97805556,-87.90611111,US,IL,east,yes
48,48,0.08316575375346358,0.1653231430346359,0.7908546711500419,214.0641639792899,PGD,26.91916667,-81.99138889,US,FL,east,no
49,49,0.2671607850362704,0.1653231430346359,0.7908546711500419,214.0641639792899,PHL,39.86805556,-75.24861111,US,PA,east,no
50,50,0.7981533047532312,0.1653231430346359,0.7908546711500419,214.0641639792899,PIE,27.90722222,-82.68555556,US,FL,east,no
51,51,0.8966457721152409,0.1653231430346359,0.7908546711500419,214.0641639792899,PIT,40.49666667,-80.23583333,US,PA,east,no
52,52,0.2543059493737653,0.1653231430346359,0.7908546711500419,214.0641639792899,PUB,38.29277778,-104.49611111,US,CO,west,no
53,53,0.5482046879690893,0.1653231430346359,0.7908546711500419,214.0641639792899,RIC,37.50527778,-77.31972222,US,VA,east,no
54,54,0.733785657547624,0.1653231430346359,0.7908546711500419,214.0641639792899,ROA,37.32472222,-79.97638889,US,VA,east,no
55,55,0.8710768274993788,0.1653231430346359,0.7908546711500419,214.0641639792899,RSW,26.53611111,-81.755,US,FL,east,no
56,56,0.7484228570775311,0.1653231430346359,0.7908546711500419,214.0641639792899,SFB,28.775,-81.24027778,US,FL,east,no
57,57,0.07917903590654117,0.1653231430346359,0.7908546711500419,214.0641639792899,SRQ,27.39388889,-82.55416667,US,FL,east,no
58,58,0.40309616389942304,0.1653231430346359,0.7908546711500419,214.0641639792899,STL,38.74722222,-90.36444444,US,MO,centre,no
59,59,0.7632121417583968,0.1653231430346359,0.7908546711500419,214.0641639792899,TUL,36.19777778,-95.88972222,US,OK,centre,no
60,60,0.5593333680368738,0.1653231430346359,0.7908546711500419,214.0641639792899,UTM,34.68083333,-90.34638889,US,MS,centre,no
61,61,0.8119194491262716,0.1653231430346359,0.7908546711500419,214.0641639792899,VPS,30.48333333,-86.52527778,US,FL,east,no
62,62,0.7468196972004114,0.1653231430346359,0.7908546711500419,214.0641639792899,ABI,32.40944444,-99.67972222,US,TX,centre,no
63,63,0.12010273319098469,0.1653231430346359,0.7908546711500419,214.0641639792899,ELP,31.80666667,-106.37722222,US,TX,centre,no
64,64,0.17085400613193666,0.1653231430346359,0.7908546711500419,214.0641639792899,ENV,40.71861111,-114.03388889,US,UT,west,no
65,65,0.25005763045000096,0.1653231430346359,0.7908546711500419,214.0641639792899,GGG,32.38666667,-94.71527778,US,TX,centre,no
66,66,0.5171009615960713,0.1653231430346359,0.7908546711500419,214.0641639792899,IFP,35.16444444,-114.56527778,US,AZ,west,no
67,67,0.24247811388223867,0.1653231430346359,0.7908546711500419,214.0641639792899,SJT,31.35972222,-100.49444444,US,TX,centre,no
68,68,0.09532194124529228,0.1653231430346359,0.7908546711500419,214.0641639792899,SLC,40.78416667,-111.96694444,US,UT,west,no
69,69,0.8766271531023828,0.1653231430346359,0.7908546711500419,214.0641639792899,SMO,34.01611111,-118.45083333,US,CA,west,no
70,70,0.7827909575601203,0.1653231430346359,0.7908546711500419,214.0641639792899,ABQ,35.04166667,-106.60638889,US,NM,west,no
71,71,0.21013996388617392,0.1653231430346359,0.7908546711500419,214.0641639792899,ALB,42.74583333,-73.80527778,US,NY,east,no
72,72,0.2600216262584403,0.1653231430346359,0.7908546711500419,214.0641639792899,ALM,32.83972222,-105.99,US,NM,west,no
73,73,0.1784104763551727,0.1653231430346359,0.7908546711500419,214.0641639792899,AMA,35.22722222,-101.72194444,US,TX,centre,no
