,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,16.207834340696166,0.011950518852769414,0.2514865541008847,0.4841483834760242,70.68591703799864,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,-11.239866733018594,0.0303181717567076,0.2514865541008847,0.4841483834760242,70.68591703799864,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,-28.316785385298807,0.06358928628417129,0.2514865541008847,0.4841483834760242,70.68591703799864,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,-12.318832919496339,0.008282724068861338,0.2514865541008847,0.4841483834760242,70.68591703799864,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,6.411876120434551,1.3688350098081472,0.2514865541008847,0.4841483834760242,70.68591703799864,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,47.53962540761644,0.6030606012489717,0.2514865541008847,0.4841483834760242,70.68591703799864,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,30.16594258880815,0.06580670222298605,0.2514865541008847,0.4841483834760242,70.68591703799864,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,49.9740041560096,2.290779899561622,0.2514865541008847,0.4841483834760242,70.68591703799864,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,48.49077023761424,0.4553067923000813,0.2514865541008847,0.4841483834760242,70.68591703799864,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,46.375847040528264,0.26378424528894245,0.2514865541008847,0.4841483834760242,70.68591703799864,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,48.89681662670023,1.5431940411810303,0.2514865541008847,0.4841483834760242,70.68591703799864,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,6.187140573000135,0.09559797593992415,0.2514865541008847,0.4841483834760242,70.68591703799864,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,46.933817581561264,2.2049717913785725,0.2514865541008847,0.4841483834760242,70.68591703799864,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,47.97398681705067,0.764589572741359,0.2514865541008847,0.4841483834760242,70.68591703799864,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,30.08555898751987,0.6041810156125309,0.2514865541008847,0.4841483834760242,70.68591703799864,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,48.2012708457011,2.190623498901943,0.2514865541008847,0.4841483834760242,70.68591703799864,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,49.343916044264226,1.5379399594713545,0.2514865541008847,0.4841483834760242,70.68591703799864,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,48.68872651284278,1.063512959533334,0.2514865541008847,0.4841483834760242,70.68591703799864,DAY,39.90111111,-84.22,US,OH,east,no
18,18,59.035777731097305,2.3416217555833008,0.2514865541008847,0.4841483834760242,70.68591703799864,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,43.94852230061484,0.3923053715876162,0.2514865541008847,0.4841483834760242,70.68591703799864,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,57.79318185874943,1.324527817779114,0.2514865541008847,0.4841483834760242,70.68591703799864,DSM,41.53388889,-93.65666667,US,IA,centre,no
21,21,46.62463992805634,2.27328275835879,0.2514865541008847,0.4841483834760242,70.68591703799864,DTW,42.21666667,-83.34444444,US,MI,east,yes
22,22,48.11417007970182,0.21574206227519957,0.2514865541008847,0.4841483834760242,70.68591703799864,ERI,42.08,-80.17861111,US,PA,east,no
23,23,-47.16266486545492,1.4240241835164635,0.2514865541008847,0.4841483834760242,70.68591703799864,FLL,26.07416667,-80.15166667,US,FL,east,yes
24,24,47.15820045229087,0.5232352274311004,0.2514865541008847,0.4841483834760242,70.68591703799864,FNT,42.96666667,-83.74166667,US,MI,east,no
25,25,49.82144019505393,0.6842747375846062,0.2514865541008847,0.4841483834760242,70.68591703799864,GPT,30.40611111,-89.07027778,US,MS,centre,no
26,26,38.12081823972333,0.7042457113626154,0.2514865541008847,0.4841483834760242,70.68591703799864,GRB,44.48805556,-88.13055556,US,WI,centre,no
27,27,48.89607712021193,0.7620169136326247,0.2514865541008847,0.4841483834760242,70.68591703799864,GSP,34.89888889,-82.21388889,US,SC,east,no
28,28,51.025172836458076,0.7987222982551346,0.2514865541008847,0.4841483834760242,70.68591703799864,HSV,34.64277778,-86.77555556,US,AL,centre,no
29,29,45.369459760056124,2.249335768628421,0.2514865541008847,0.4841483834760242,70.68591703799864,IAD,38.94166667,-77.4575,US,VA,east,yes
30,30,45.50705006361178,1.1004241941176365,0.2514865541008847,0.4841483834760242,70.68591703799864,ICT,37.65,-97.43277778,US,KS,centre,no
31,31,49.690658588847256,0.47646379347789813,0.2514865541008847,0.4841483834760242,70.68591703799864,ILM,34.26694444,-77.90388889,US,NC,east,no
32,32,43.701116760282524,1.7630437360333122,0.2514865541008847,0.4841483834760242,70.68591703799864,IND,39.72888889,-86.28166667,US,IN,east,no
33,33,50.12573727105484,1.0605293031994676,0.2514865541008847,0.4841483834760242,70.68591703799864,JAX,30.48472222,-81.68777778,US,FL,east,no
34,34,32.65599580549563,0.8917133270406993,0.2514865541008847,0.4841483834760242,70.68591703799864,JFK,40.63861111,-73.77694444,US,NY,east,yes
35,35,-1.4594644337194769,0.03803623554314411,0.2514865541008847,0.4841483834760242,70.68591703799864,LBE,40.27638889,-79.40277778,US,PA,east,no
36,36,48.65301237565301,0.8171897832300673,0.2514865541008847,0.4841483834760242,70.68591703799864,LEX,38.03972222,-84.60222222,US,KY,centre,no
37,37,39.349632823073144,1.587915444250929,0.2514865541008847,0.4841483834760242,70.68591703799864,LGA,40.77944444,-73.87583333,US,NY,east,no
