,0
0,1
1,6
2,21
3,2
4,141
5,89
6,11
7,187
8,77
9,51
10,152
11,9
12,209
13,109
14,87
15,190
16,171
17,136
18,194
19,66
20,147
21,183
22,49
23,139
24,83
25,87
26,107
27,113
28,124
29,188
30,128
31,77
32,165
33,136
34,115
35,5
36,111
37,162
38,139
39,193
40,158
41,157
42,184
43,188
44,93
45,130
46,110
47,189
48,17
49,164
50,60
51,162
52,26
53,118
54,62
55,131
56,45
57,67
58,169
59,151
60,123
61,69
62,14
63,125
64,60
65,9
66,135
67,13
68,146
69,23
70,129
71,144
72,0
73,74
74,175
75,148
76,46
77,68
78,116
79,139
80,7
81,162
82,157
83,164
84,164
85,4
86,114
87,44
88,157
89,1
90,124
91,159
92,219
93,81
94,42
95,167
96,65
97,97
98,28
99,46
100,29
101,4
102,116
103,63
104,189
105,30
106,81
107,7
108,28
109,168
110,182
111,71
112,67
113,73
114,40
115,111
116,37
117,33
118,198
119,167
120,121
121,183
122,156
123,124
124,149
125,109
126,118
127,157
128,49
129,76
130,132
131,172
132,126
133,130
134,162
135,57
136,12
137,167
138,147
139,152
140,114
141,112
142,118
143,1
144,74
145,129
146,125
147,5
148,0
149,4
150,5
151,5
152,32
153,2
154,1
155,3
156,34
157,1
158,17
159,8
160,11
161,13
162,17
163,1
164,25
165,80
166,8
167,29
168,20
169,23
170,80
171,19
172,18
173,20
174,122
175,11
176,21
177,6
178,14
179,85
180,48
181,107
182,79
183,4
184,50
185,37
186,75
187,55
188,85
189,124
190,106
191,8
192,28
193,3
194,57
195,18
196,55
197,7
198,21
199,87
200,11
201,101
202,104
203,116
204,44
205,29
206,23
207,25
208,19
209,11
210,19
211,73
212,50
213,2
214,118
215,8
216,2
217,7
218,42
219,50
220,27
221,30
222,1
223,6
224,51
225,20
226,115
227,12
228,100
229,83
230,5
231,2
232,3
233,24
234,24
235,3
236,7
237,51
238,49
239,51
240,98
241,10
242,65
243,12
244,22
245,8
246,6
247,20
248,8
249,7
250,9
251,8
252,3
253,55
254,67
255,44
256,114
257,49
258,49
259,2
260,38
261,4
262,73
263,43
264,61
265,103
266,10
267,8
268,6
269,8
270,21
271,6
272,4
273,9
274,11
275,49
276,4
277,0
278,6
279,11
280,3
281,2
282,2
283,8
284,78
285,28
286,42
287,2
288,8
289,23
290,55
291,54
292,2
293,45
294,26
295,11
296,25
297,55
298,27
299,26
300,46
301,7
302,87
303,13
304,17
305,14
306,19
307,4
308,7
309,7
310,5
311,7
312,28
313,6
314,18
315,3
316,28
317,42
318,52
319,6
320,32
321,18
322,48
323,4
324,6
325,72
326,47
327,12
328,3
329,5
330,4
331,25
332,14
333,39
334,32
335,9
336,3
337,14
338,18
339,16
340,8
341,3
342,13
343,38
344,1
345,55
346,3
347,16
348,10
349,11
350,28
351,55
352,36
353,18
354,8
355,22
356,1
357,10
358,6
359,2
360,3
361,0
362,17
363,23
364,13
365,0
366,6
367,10
368,4
369,3
370,4
371,5
372,10
373,7
374,9
375,3
376,7
377,4
378,2
379,16
380,4
381,5
382,4
383,5
384,10
385,2
386,22
387,12
388,4
389,5
390,3
391,21
392,3
393,3
394,2
395,3
396,18
397,5
398,10
399,12
400,21
401,8
402,4
403,10
404,6
405,9
406,6
407,6
408,22
409,5
410,2
411,4
412,8
413,1
414,26
415,3
416,1
417,7
418,9
419,12
420,33
421,22
422,11
423,28
424,9
425,1
426,19
427,9
428,8
429,8
430,2
431,7
432,2
433,4
434,1
435,2
436,4
437,2
438,1
439,24
440,5
441,6
442,3
443,2
444,1
445,3
446,1
447,4
448,2
449,3
450,6
451,13
452,6
453,2
454,25
455,0
456,3
457,1
458,6
459,17
460,2
461,10
462,5
463,6
464,3
465,1
466,8
467,1
468,10
469,1
470,5
471,10
472,4
473,3
474,2
475,1
476,2
477,3
478,33
479,4
480,4
481,6
482,5
483,4
484,8
485,13
486,4
487,2
488,9
489,11
490,3
491,0
492,2
493,12
494,11
495,4
496,1
497,1
498,1
499,6
500,3
501,1
502,3
