,0
0,4
1,2
2,16
3,1
4,136
5,97
6,18
7,192
8,81
9,54
10,169
11,19
12,182
13,102
14,89
15,195
16,164
17,137
18,187
19,70
20,135
21,195
22,35
23,148
24,85
25,87
26,87
27,111
28,107
29,184
30,144
31,63
32,173
33,128
34,120
35,7
36,117
37,158
38,144
39,173
40,163
41,172
42,173
43,180
44,88
45,123
46,84
47,186
48,20
49,179
50,61
51,168
52,31
53,141
54,58
55,112
56,64
57,70
58,175
59,156
60,126
61,60
62,19
63,125
64,60
65,7
66,143
67,8
68,158
69,21
70,142
71,152
72,4
73,67
74,168
75,155
76,42
77,65
78,117
79,161
80,10
81,161
82,167
83,162
84,180
85,7
86,118
87,53
88,142
89,2
90,106
91,153
92,213
93,81
94,42
95,168
96,65
97,112
98,39
99,50
100,35
101,7
102,118
103,91
104,180
105,27
106,85
107,4
108,25
109,165
110,164
111,82
112,66
113,76
114,51
115,127
116,33
117,32
118,198
119,154
120,114
121,188
122,156
123,132
124,141
125,109
126,137
127,147
128,44
129,74
130,135
131,162
132,117
133,120
134,155
135,49
136,16
137,171
138,137
139,135
140,130
141,123
142,114
143,1
144,93
145,131
146,125
147,7
148,0
149,3
150,8
151,10
152,31
153,2
154,2
155,2
156,34
157,4
158,22
159,9
160,12
161,16
162,11
163,5
164,17
165,67
166,7
167,22
168,24
169,33
170,71
171,16
172,19
173,26
174,151
175,28
176,22
177,6
178,13
179,85
180,55
181,93
182,99
183,4
184,50
185,41
186,62
187,58
188,80
189,125
190,112
191,7
192,20
193,6
194,50
195,20
196,45
197,4
198,8
199,99
200,5
201,106
202,114
203,111
204,38
205,45
206,15
207,28
208,15
209,5
210,36
211,61
212,50
213,8
214,106
215,9
216,2
217,4
218,42
219,46
220,29
221,28
222,0
223,1
224,56
225,12
226,111
227,11
228,97
229,50
230,2
231,2
232,4
233,23
234,33
235,1
236,10
237,44
238,53
239,47
240,114
241,17
242,60
243,13
244,22
245,10
246,5
247,19
248,3
249,5
250,3
251,4
252,0
253,51
254,69
255,52
256,126
257,60
258,66
259,1
260,47
261,2
262,81
263,55
264,63
265,101
266,8
267,6
268,5
269,2
270,16
271,3
272,2
273,12
274,12
275,65
276,1
277,2
278,7
279,10
280,5
281,4
282,3
283,8
284,66
285,18
286,39
287,4
288,8
289,28
290,46
291,70
292,4
293,64
294,25
295,16
296,32
297,61
298,28
299,29
300,50
301,8
302,97
303,11
304,25
305,11
306,27
307,1
308,11
309,5
310,3
311,5
312,19
313,4
314,22
315,2
316,28
317,50
318,45
319,6
320,35
321,21
322,49
323,10
324,4
325,69
326,45
327,14
328,2
329,7
330,1
331,26
332,14
333,40
334,22
335,7
336,8
337,15
338,20
339,15
340,11
341,5
342,14
343,49
344,1
345,56
346,3
347,23
348,4
349,12
350,41
351,48
352,33
353,14
354,7
355,13
356,1
357,13
358,10
359,3
360,1
361,2
362,11
363,12
364,10
365,1
366,8
367,11
368,2
369,4
370,3
371,9
372,6
373,8
374,12
375,4
376,8
377,3
378,4
379,5
380,3
381,0
382,6
383,5
384,10
385,0
386,21
387,18
388,9
389,4
390,3
391,20
392,3
393,6
394,0
395,1
396,22
397,6
398,8
399,11
400,11
401,4
402,5
403,5
404,8
405,6
406,3
407,10
408,24
409,2
410,2
411,7
412,9
413,2
414,15
415,3
416,4
417,8
418,0
419,9
420,30
421,20
422,17
423,30
424,4
425,1
426,18
427,7
428,9
429,6
430,5
431,10
432,7
433,3
434,3
435,1
436,3
437,1
438,5
439,29
440,4
441,6
442,2
443,0
444,2
445,3
446,1
447,4
448,3
449,2
450,7
451,7
452,3
453,2
454,20
455,3
456,0
457,3
458,2
459,17
460,1
461,8
462,3
463,1
464,5
465,3
466,8
467,1
468,9
469,0
470,7
471,10
472,3
473,3
474,6
475,4
476,5
477,1
478,35
479,10
480,5
481,4
482,3
483,1
484,12
485,13
486,7
487,4
488,12
489,8
490,8
491,2
492,13
493,21
494,8
495,8
496,4
497,3
498,2
499,4
500,0
501,5
502,3
503,1
504,7
505,0
506,3
507,1
508,9
509,2
510,13
511,1
512,4
513,2
514,7
515,21
516,4
517,9
518,7
519,4
520,6
521,17
522,4
523,6
524,2
525,2
526,3
527,3
528,3
529,10
530,2
531,3
532,6
533,4
534,1
535,4
536,9
537,7
538,2
539,4
540,1
541,7
542,4
543,3
544,3
545,3
546,4
547,1
548,7
549,3
550,2
551,1
552,4
553,5
554,3
555,10
556,1
557,9
558,2
559,1
560,1
561,2
562,4
563,2
564,4
565,4
566,2
567,3
568,1
569,7
570,3
571,3
572,3
573,3
574,5
575,8
576,3
577,2
578,2
579,4
580,2
581,0
582,2
583,3
584,2
585,5
586,0
587,0
588,2
589,0
590,5
591,2
592,1
593,2
594,2
595,5
596,1
597,6
598,4
599,1
600,2
601,1
602,3
603,9
604,1
605,1
606,0
607,2
608,2
609,3
610,1
611,0
612,1
613,1
614,1
615,0
616,2
617,2
618,2
619,1
620,3
621,2
622,2
623,0
624,1
625,4
626,7
627,4
628,1
629,1
630,2
631,1
632,4
633,2
634,3
635,1
636,1
637,1
638,2
639,1
640,2
641,7
642,3
643,7
644,2
645,5
646,1
647,2
648,9
649,1
650,2
651,0
652,1
653,3
654,0
655,0
656,2
657,3
658,2
659,3
660,0
661,1
662,1
663,6
664,1
665,1
666,0
667,1
668,2
669,0
670,1
671,5
672,0
673,1
674,4
675,0
676,3
677,4
678,1
679,4
680,2
681,2
682,1
683,1
684,1
685,3
686,2
687,1
688,0
689,2
690,2
691,1
692,3
693,0
694,2
695,4
696,5
697,1
