,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
0,0,0.3682450953598577,0.009639089536046827,0.23279385111908898,0.560914539601102,65.15383031619264,1G4,35.99027778,-113.81638889,US,AZ,west,no
1,1,0.21432708380171692,0.025654957169113164,0.23279385111908898,0.560914539601102,65.15383031619264,DQS,36.25972222,-113.23138889,US,AZ,west,no
2,2,0.19426024273003398,0.05232716141763166,0.23279385111908898,0.560914539601102,65.15383031619264,VGT,36.2125,-115.19694444,US,NV,west,no
3,3,0.30807477000853034,0.006187442701379442,0.23279385111908898,0.560914539601102,65.15383031619264,6B0,43.98472222,-73.09583333,US,VT,east,no
4,4,0.7153748986471195,1.0757262748962624,0.23279385111908898,0.560914539601102,65.15383031619264,HPN,41.06888889,-73.70777778,US,NY,east,no
5,5,0.9410613096082868,0.537919150208239,0.23279385111908898,0.560914539601102,65.15383031619264,ABE,40.65472222,-75.43833333,US,PA,east,no
6,6,0.6621931747039826,0.0540009224975089,0.23279385111908898,0.560914539601102,65.15383031619264,ALO,42.55611111,-92.39972222,US,IA,centre,no
7,7,0.8940423014625832,2.0184339914852973,0.23279385111908898,0.560914539601102,65.15383031619264,ATL,33.64083333,-84.42722222,US,GA,east,yes
8,8,0.9369951437942242,0.4038263637058418,0.23279385111908898,0.560914539601102,65.15383031619264,ATW,44.25777778,-88.52,US,WI,centre,no
9,9,0.922442822851542,0.22890344702061874,0.23279385111908898,0.560914539601102,65.15383031619264,AZO,42.23638889,-85.55361111,US,MI,east,no
10,10,0.9414444318852216,1.373642079090064,0.23279385111908898,0.560914539601102,65.15383031619264,BHM,33.56305556,-86.75555556,US,AL,centre,no
11,11,0.3617748278605987,0.07818739926651247,0.23279385111908898,0.560914539601102,65.15383031619264,BIF,31.84944444,-106.37944444,US,TX,centre,no
12,12,0.8938485232284165,1.9382243152808916,0.23279385111908898,0.560914539601102,65.15383031619264,BNA,36.12666667,-86.68194444,US,TN,east,yes
13,13,0.9425454509702761,0.6814431540899868,0.23279385111908898,0.560914539601102,65.15383031619264,CHS,32.89916667,-80.03888889,US,SC,east,no
14,14,0.8772575054797354,0.4785864637650182,0.23279385111908898,0.560914539601102,65.15383031619264,CID,41.88444444,-91.70611111,US,IA,centre,no
15,15,0.9222166672049815,1.9184434710514506,0.23279385111908898,0.560914539601102,65.15383031619264,CLE,41.41083333,-81.84944444,US,OH,east,yes
16,16,0.9141146337169755,1.360253346320468,0.23279385111908898,0.560914539601102,65.15383031619264,CLT,35.21916667,-80.93583333,US,NC,east,no
17,17,0.9393768970600264,0.9424698098531085,0.23279385111908898,0.560914539601102,65.15383031619264,DAY,39.90111111,-84.22,US,OH,east,no
18,18,0.30251986544518605,1.9868588978102053,0.23279385111908898,0.560914539601102,65.15383031619264,DFW,32.89444444,-97.02972222,US,TX,centre,yes
19,19,0.8735030827601973,0.3317260662691677,0.23279385111908898,0.560914539601102,65.15383031619264,DLH,46.8425,-92.19027778,US,MN,centre,no
20,20,0.640824786596639,1.0455805083142504,0.23279385111908898,0.560914539601102,65.15383031619264,DSM,41.53388889,-93.65666667,US,IA,centre,no
